Name,Brand,Card1,Card2,Card3,Card4,Card5,Cost,Game,Ability
IO Cache 3050,Henko,Shield x,,,,,4,OL,Discard 2 cards to add 1 IOsphere token to this card. Spend 2 IOsphere tokens from this card to ignore 1 Hazard icon.
IO Exhaust E1,Ventus,Thruster +,,,,,4,OL,"Add 1 IOsphere token to this card to draw 1 Card. When this card has 4 IOsphere tokens on it, discard this Ship Part to the bottom of the deck."
IO Gen mk1,Komek,Reactor x,Miss,,,,3,OL,"Add 1 IOsphere token to this card for every Contract you complete successfully. Spend 3 IOsphere tokens to play any card twice, spending only 1 Action to do so."
IO Hotshot 1050,Henko,Shield +,,,,,5,OL,"Twice per Contract, you may roll a Hazard Die and add 1 IOsphere token to this card. Spend 1 IOsphere token to lower any requirement of the current Contract by 1 (to a minimum of 0)."
IO Hub mk2,Komek,Reactor +,Miss,,,,4,OL,Discard any 1 Blue Reactor to add 1 IOsphere token to this card. Spend 3 IOsphere tokens from this card to a add a Blue Reactor + to your discard pile.
IO Pivot H2,Ventus,Thruster +,,,,,3,OL,"After successfully completing a Contract, add 1 IOsphere token to this card for every Hazard icon you did not block. Spend 1 IOsphere token from this card to re-roll a Hazard die targeting you (once only)."
IO Spark mk1,Komek,Reactor x,Miss,,,,3,OL,Discard any 1 Blue Reactor to add 1 IOsphere token to this card. Spend 1 IOsphere token from this card to gain 1 Action.
IO Surge E2,Ventus,Thruster x,Miss,,,,3,OL,Discard any 1 Yellow Thruster from your hand to add 1 IOsphere token to this card. Spend 1 IOsphere token from this card to draw 1 Card.
Magnetite M1,Ventus,Thruster x,,,,,4,OL,"Once per Contract, each Ally (excluding you) may choose to give you 1 card from their hand. You may trash it or add it to your hand."
MG IO Charge,Magnomi,Damage +,,,,,4,OL,Add 1 IOsphere token to this card every time you block a Hazard icon. Spend 2 IOsphere tokens from this card deal 1 Damage.
MG IO Core,Magnomi,Damage +,Damage 1,,,,4,OL,Discard 2 Damage cards to add 1 IOsphere token to this card. Spend 1 IOsphere token from this card to deal 1 Damage.
MG IO Overkill,Magnomi,Damage 2,Damage 2,,,,5,OL,Add 1 IOsphere to this card every time you play a Damage 2 card. Spend 4 IOsphere tokens from this card to double your total played Damage.
MG Overcharger,Magnomi,Damage +,,,,,5,OL,"Once per Contract, spend 1 extra Action when playing a Damage card to double its Damage value."
MG Raid,Magnomi,Thruster +,Miss,Miss,,,4,OL,"At the start of a Contract you're participating in, if there is a Miss card in your hand, draw 2 Cards."
MG Reformer,Magnomi,Damage +,Miss,,,,3,OL,"Once per Contract, you must either trash a card from your hand or add 1 Miss card to your discard pile from the supply."
MG Tractor Beam,Magnomi,Damage +,,,,,3,OL,"When any other player trashes a card, you may add that card to your discard pile."
MG Upgrade Core,Magnomi,Damage +,,,,,4,OL,"Once per Contract, you may trash a Damage card from your hand and add a Damage + card to your discard pile."
"Mill, The",Sorelia,Reactor x,,,,,3,OL,"Once per Contract, discard the top card of your draw pile (without first seeing what it is). If it isn't a Crew Card, add a copy of that card to your discard pile from the supply."
Modulator T3,Ventus,Thruster x,,,,,3,OL,"Once per Contract, you and an Ally may trade 1 card from your hands."
Phase Drive mk3,Komek,Reactor +,Damage 1,,,,3,OL,"Once per Contract, you may take a card from your hand and give it to an Ally. They must add that card to their hand."
Precari 4050,Henko,Shield +,Shield x,,,,6,OL,"At the start of a Contract, If there are 2 or more Hazard Dice targeting you, gain 1 Credit."
"Reclaimer, The",Sorelia,Reactor x,Miss,,,,4,OL,"Any time you're able to trash a card, gain 2 Credits."
Staged Burst E3,Ventus,Thruster,,,,,4,OL,"Once per Contract, you may trash a Yellow Thruster from your hand and add a Thruster + card to your discard pile"
Tesselator mk1,Komek,Reactor x,Miss,,,,4,OL,"When discarding your cards at the end of a Contract (even if you failed it), you may add 1 of the discarded cards to the top of your draw pile."
Thrust Tuner E2,Ventus,Thruster x,,,,,4,OL,"When playing any Yellow Thruster, you may discard the first card drawn as a result of the Thruster and draw an additional card."
"Tributor, The",Sorelia,Reactor +,Miss,Miss,Miss,Miss,5,OL,"Once per Contract, you may trash 2 cards from your hand to reduce any one requirement of the current Contract by 3 (to a minimum of 0)."
Twin Probe E2,Ventus,Thruster x,,,,,4,OL,"Once per Contract, look at the top card of your draw pile. You may then either return this card to the top of your draw pile or discard it."
Underwriter 1050,Henko,Shield +,,,,,3,OL,"Any time you fail a Contract for any reason, gain 3 Credits."
Artifact 205-A,Sorelia,,,,,,4,BT,Prestige costs 1 less Faction Reputation.
Artifact 205-B,Sorelia,,,,,,4,BT,All Faction Reputation rewards except Prestige cost 1 fewer Reputation (to a minimum of 1).
Comms Array C5,Ventus,Thruster,,,,,3,BT,"From now on, you trade any combination of 2 Faction Reputation to gain 1 Faction Reputation of another color (instead of the regular 3)."
Envoy Shuttle,Ventus,Miss,,,,,3,BT,"Once per Contract, you may trash a card to gain 1 Faction Reputation in your lowest faction (choose 1 if tied)."
Flak Mine,Henko,Shield,,,,,2,BT,"You may roll 1 additional Hazard Die in order to gain Faction Reputation equal to the number of Hazard icons rolled on that die (in case of 2 icons, you may add increase 1 Faction by 2 or 2 different Factions by 1 each)."
LR Targeting Core,Magnomi,Damage 2,,,,,4,BT,You may spend any amount of Faction Reputation in any combination of colors to reduce the Contract's Damage requirement by that same amount.
Proto Warning System,Henko,Shield,,,,,3,BT,"Once per Contract, you may spend 1 Faction Reputation to ignore 1 Hazard icon."
Pulse Exchange,Komek,Reactor,,,,,2,BT,"Once per Contract, you may spend 1 Faction Reputation to gain 1 Action."
Pulse Recycler,Komek,Reactor,,,,,2,BT,"Once per Contract, you may trash a Blue Reactor from your hand to gain 1 Faction Reputation."
Radar Repeater,Magnomi,Damage 2,,,,,4,BT,"Once per Contract you're participating in, you may spend 1 Faction Reputation to reduce any requirement of the current Contract by 1."
"Automaton, The",Sorelia,Any Action Card,,,,,,NOM,You may discard a Crew Card to reduce the Contract's Crew requirement by 2 (to a minimum of 0).
"Conductor, The",Sorelia,Any Action Card,,,,,,NOM,"Once per turn, you may trash a card to gain 2 Actions."
"Decoder, The",Sorelia,Any Action Card,,,,,,NOM,"As Mission Leader, draw 5 Contracts instead of 3 when you travel to a sector."
"Icarus, The",Sorelia,Any Action Card,,,,,,NOM,Roll an additional Hazard Die when participating in every Contract from now on. All Thruster cards you draw let you draw an additional card.
"Initiator, The",Sorelia,Any Action Card,,,,,,NOM,"Once per Contract, discard 3 unique cards to reduce any 1 Contract's requirement by 2 (to a minimum of 0)."
"Intrepid, The",Sorelia,Any Action Card,,,,,,NOM,"When drawing an Event, draw 3 Event Cards and choose 1 to play. Return the other 2 to the bottom of the Event Deck."
"Providence, The",Sorelia,Any Action Card,,,,,,NOM,"At the start of a Contract, draw and play the top card of your draw pile without spending an Action."
"Resolute, The",Sorelia,Any Action Card,,,,,,NOM,"If you are alone in a sector, reduce any 1 requirement of the current Contract by 2 (to a minimum of 0)."
"Seer, The",Sorelia,Any Action Card,,,,,,NOM,"Without changing the order, you may look at the top 2 cards in your draw pile at any time."
"Spectre, The",Sorelia,Any Action Card,,,,,,NOM,"As Mission Leader or Ally, you may travel freely to any sector including your current sector."
Doom,Magnomi,Damage 3,,,,,4,FE,"When you stay at base, gain 4 Credits instead of 1 Credit."
Fission,Komek,Reactor,,,,,5,FE,Blue Reactor cards don't require an Action to play.
Ghost,Ventus,Thruster,,,,,6,FE,Your first Thruster played lets you discard a Hazard Die.
Siphon,Henko,Shield,,,,,5,FE,Gain an Action for each Hazard Die you block with a Shield.
SOS,Sorelia,Miss,,,,,6,FE,"You may play Miss cards as a Shield, Thruster, Reactor, or Damage 1."
EM-TR4,Sorelia,,,,,,2,SHR,"Once per Contract, you may pay 2 Credits to draw a basic loadout Action Card from the supply to your hand."
Flare Shard,Henko,Shield,,,,,4,SHR,Gain 1 Credit for each of the Hazard icons you've blocked upon the completion of your turn.
Hypershift,Ventus,Thruster,,,,,4,SHR,"Before playing cards, you may discard your entire hand. If you do, draw 5 Cards (or 6, if you own the Ship Part, Flash)."
Refractor,Komek,Reactor,,,,,3,SHR,You may trash a Blue Reactor from you hand to gain 4 Actions.
Shard Spear,Magnomi,Damage 2,,,,,4,SHR,You may trash a Damage card and any other card from your hand to add Damage of 1 tier higher than the Damage card you trashed.
"Oracle, The",Sorelia,,,,,,4,STF,"At the start of a Contract, guess a Card Type (Reactor, Thruster, Shield, Damage, or Crew). All Allies draw 1 Card, and you gain 1 Credit for each card drawn that matches the chosen type."
Pandorum Box,Ventus,Thruster,,,,,3,STF,Draw 2 Cards every time you a Hazard Die and get a double icon result.
Panic Drones,Henko,Shield,,,,,6,STF,Subtract 1 from the result of every Hazard Die you roll (to a minimum of 0).
Spark Root,Komek,Reactor,,,,,3,STF,"Gain 1 Action every time an Ally rolls a Hazard Die (e.g., if they roll 2 Hazard Dice, you gain 2 Actions)."
STF Proto Field,Sorelia,Miss,,,,,3,STF,"Once per Contract, you may re-roll 1 of your Hazard Dice that you rolled for any reason."
Bulwark 5040,Henko,,,,,,4,DM,Trash 1 Green Shield to gain a Dark Matter card. Play a Dark Matter card to ignore 2 Hazard icons.
Fragmentor mk3,Komek,,,,,,3,DM,Trash 1 Blue Reactor from your hand to gain a Dark Matter Card. Play a Dark Matter Card to reduce the Contract's Reactor requirement by 2 (to a minimum of 0).
Injector T9,Ventus,,,,,,3,DM,Trash 1 Yellow Thruster from your hand to gain a Dark Matter Card. Play a Dark Matter Card to reduce the Contract's Thruster requirement by 2 (to a minimum of 0).
"Lattice, The",Sorelia,,,,,,5,DM,"Trash a Miss card from your hand to gain a Dark Matter Card. For every Dark Matter Card you play, gain 2 Credits."
LR-42 Auto,Magnomi,,,,,,4,DM,Trash 1 Orange Damage card from your hand to gain a Dark Matter Card. Spend 1 Action to play 2 Dark Matter Cards to deal 6 Damage.
Photon Cannon,Magnomi,,,,,,4,DM,Trash 1 Orange Damage Card from your hand to gain a Dark Matter Card. Play a Dark Matter Card to deal 2 Damage.
Pod Coils,Ventus,,,,,,4,DM,Trash 1 Yellow Thruster Card from your hand to gain a Dark Matter Card. Play a Dark Matter Card to draw 3 Cards.
Prism Canister,Komek,,,,,,4,DM,Trash 1 Blue Reactor Card from your hand to gain a Dark Matter Card. Play a Dark Matter Card to gain 3 Actions.
Security Buffer,Henko,,,,,,3,DM,Trash 1 Green Shield from your hand to gain a Dark Matter Card. Play a Dark Matter Card to the current Contract's Shield requirement by 2 (to a minimum of 0).
"Transponder, The",Sorelia,,,,,,4,DM,Trash a Miss card to gain a Dark Matter Card. Spend 1 Action to play 2 Dark Matter Cards and gain an Objective Card.
"Hexahedron, The",Sorelia,,,,,,5,INT,"Once per Contract, roll a Moonroller die. Reduce a matching Contract requirement by 2 (to a minimum of 0)."
MG Impact Warheads,Magnomi,,,,,,3,INT,"At the start of a Contract, roll a Moonroller die. On a Damage result, add a Damage 2 card to your hand from the supply. On a Moonroller result, you must trash a card from your hand."
Octingency 8050,Henko,,,,,,4,INT,Roll a Moonroller die for each Hazard Die targeting you. Discard a Hazard Die for each Moonroller or Shield result rolled.
Tertiary Drive mk1,Komek,,,,,,4,INT,"Once per Contract, roll 2 Moonroller dice. Play 1 matching card without spending an Action. Play any card on a Moonroller or play a Crew Card on a Purple Hex icon."
Trajectory Array K4,Ventus,,,,,,3,INT,"Once per Contract, roll 4 Moonroller dice. Allies gain 1 Action for each Blue Reactor result and draw 1 Card for each Yellow Thruster result."
