,,,REWARDS,,,,,,,REQUIREMENTS,,,,,,,,,
Last Ship Standing,Rescue,H2H,1,5,,,,3,,99,,99,,,,,,OL,
Nameless Ruins,Explore,Flex,1,5,,,,,,2,,,,,,6,1,OL,
Nebula Sprint,Rescue,H2H,1,5,,,,3,,,99,99,,,,,,OL,
Payload Delivery,Kill,H2H,1,5,,,,3,,,99,,99,,,,,OL,
Protect the Target,Explore,H2H,1,5,,,,3,,,,99,,99,,,,OL,
Readiness Inspection,Explore,H2H,1,5,,,,3,,99,,,,99,,,,OL,
"Alpha Nebula, The",Explore,Flex,2,4,,,,,,,,,,,,12,2,OL,
"Omega Nebula, The",Delivery,Flex,3,8,,,,,,,,,,,,16,3,OL,
"Beta Nebula, The",Delivery,Flex,3,5,,,,,,,,,,,,14,3,OL,
Uncharted Nebula,Kill,Flex,3,8,,,,,,,,,,3,,10,3,OL,
Undisclosed Refuge,Rescue,Flex,1,4,,,,,,,,1,,,,6,1,OL,
War Games,Explore,H2H,1,5,,,,3,,,,,99,99,,,,OL,
Weapons Testing,Explore,H2H,1,5,,,,3,,99,,,99,,,,,OL,
Emergency Council,Delivery,Reg,2,6,,Purple,,,,,3,,,3,,,2,BT,
Infiltration Plan,Rescue,Reg,5,10,,Yellow,,,,5,,,5,5,,,3,BT,
Minil Horde,Kill,Reg,0,5,,Orange,,,,2,,,3,,,,1,BT,
Mythic Monstrosity,Kill,Reg,2,5,,Blue,,,,4,,,5,,,,2,BT,
Precious Cargo,Delivery,Reg,0,3,,Yellow,,,,,1,,,1,,,1,BT,
Solar Flares,Explore,Reg,0,3,,Blue,,,,2,,2,,,,,2,BT,
Solar Shield,Rescue,Reg,0,3,,Green,,,,,,1,2,,,,1,BT,
Starfall Anomaly,Rescue,Reg,5,10,,Green,,,,,5,4,,4,,,4,BT,
"Veil, The",Explore,Reg,2,5,,Orange,,,,6,,2,,,,,2,BT,
Traders Peril,Rescue,Reg,2,6,,Purple,,,,,3,4,,,,,3,BT,
Aggressive Negotiation,Redacted,Reg,3,8,,,,,,3,,,6,3,,,3,NOM,
Avoid Entrapment,Delivery,Reg,2,4,,,,,,2,2,2,,,,,2,NOM,
Border Skirmish,Redacted,Reg,1,4,,,1,,,,,,,,,,,NOM,
Bounty Drones,Kill,Reg,3,8,,,,,,,,4,5,,,,3,NOM,
Broadside Cover,Rescue,Reg,3,7,,,,,,,,5,,,,,3,NOM,
Dignitary Escort,Redacted,Reg,2,4,,,1,,,,,3,,3,,,2,NOM,
Emergency Orders,Redacted,Reg,2,5,,,1,,,3,3,3,,,,,3,NOM,
Fatal Extraction,Redacted,Reg,3,6,,,1,,,,,,9,2,,,2,NOM,
Feint Attack,Rescue,Reg,1,6,,,,,,,,2,3,,,,2,NOM,
Hostile Arbitration,Redacted,Reg,4,8,,,,,,,4,5,,3,,,4,NOM,
Moon Defense,Redacted,Reg,2,4,,,1,,,,,3,4,,,,3,NOM,
Nova Scout,Explore,Reg,3,8,,,,,,5,3,,5,,,,2,NOM,
Orbital Loop,Delivery,Reg,3,7,,,,,,5,3,,,,,,2,NOM,
Path to Absolution,Redacted,Reg,3,8,,,1,,,,5,,,6,,,2,NOM,
Patrol Survey,Redacted,Reg,4,8,,,1,,,10,,4,3,,,,4,NOM,
Readiness Drills,Redacted,Reg,1,7,,,1,,,,3,,,3,,,2,NOM,
Sector Infiltration,Kill,Reg,2,6,,,,,,,,,4,2,,,2,NOM,
Sector Scan,Explore,Reg,2,6,,,,,,7,,,,,,,2,NOM,
Supply Raid,Redacted,Reg,1,5,,,1,,,,3,,3,,,,1,NOM,
"Academy, The",Redacted,Reg,2,6,,,1,,,,,,,6,,,2,NOM,
Boarding Action,Explore,Reg,4,2,,,,,,,,,5,4,,,3,FE,
Decoy Target,Rescue,Reg,3,,3,,,,,,4,4,,,,,3,FE,
First Contact,Explore,Reg,3,,2,,,,,5,,3,,,,,2,FE,
Focused Fire,Kill,Reg,3,,3,,,,,4,,,6,,,,3,FE,
Gauntlet Run,Delivery,Reg,3,,2,,,,,,4,,4,,,,2,FE,
Decoy Convoy,Rescue,Reg,2,6,,,,,,,,3,3,,,,2,SHR,
Deep Space Scan,Explore,Reg,2,8,,,,,,4,,4,,,,,3,SHR,
Hostage Extraction,Rescue,Reg,3,6,,,,,,,,2,,3,,,2,SHR,
Hunt the Hunter,Kill,Reg,3,7,,,,,,,,,7,,,,2,SHR,
Illegal Munitions,Delivery,Reg,2,8,,,,,,,3,,4,,,,2,SHR,
Celestial Probe,Explore,Reg,1,5,,,,,,3,,1,,,,,1,STF,"Roll a Hazard Die, and add requirements: 0:1 Reactor; 1:1 Shield; 2:1 Reactor+1 Shield."
Celestial Sprint,Delivery,Reg,2,7,,,,,,,5,,,,,,1,STF,Participating players must have a Ventus Ship Part.
Destructive Expedition,Kill,Reg,2,3,,,,,,,2,,3,,,,1,STF,"Roll a Hazard Die, and add requirements: 0:1 Damage; 1:1 Thruster; 2:1 Damage+1 Thruster."
Divine Sprint,Delivery,Reg,3,7,,,,,,5,5,,,,,,2,STF,"Roll a Hazard Die, and add requirements: 0:1 Thruster; 1:1 Reactor; 2:1 Reactor+1 Thruster."
Energy Pilgrimage,Explore,Reg,3,12,1,,,,,6,4,,,,,,2,STF,"Participating players must discard 4 Credits, combined."
Hostile Intent,Redacted,Reg,4,8,1,,,,,,,,8,4,,,2,STF,"Roll a Hazard Die, and add requirements: 0:1 Crew; 1:1 Damage; 2:1 Crew+1 Damage."
Impending Impact,Rescue,Reg,1,6,,,,,,2,,3,1,,,,2,STF,Participating players must discard a card to attempt.
Left Behind,Kill,Reg,3,7,1,,,,,,,,5,3,,,2,STF,1 participating player can trash 1 Crew Card upon the completion of the Contract.
Requisite Offering,Redacted,Reg,5,12,1,,,,,,,4,8,4,,,4,STF,Participating players gain a Miss Card to attempt.
Treacherous Pursuit,Rescue,Reg,3,9,,,,,,,3,4,1,,,,3,STF,"Roll a Hazard Die, and add requirements: 0:1 Shield; 1:1 Thruster; 2:1 Damage+1 Thruster."
Chaotic Confluence,Unstable,Reg,3,8,,,,,,,,3,3,,4,,4,INT,
Contingency Shelter,Rescue,Reg,1,7,,,,,,,,2,,,3,,2,INT,
Ethereal Well,Explore,Reg,1,6,,,,,,2,,,,,3,,1,INT,
Gossamer Vault,Explore,Reg,2,8,,,,,,4,,,,,4,,2,INT,
Helix Guardian,Kill,Reg,1,7,,,,,,,,,3,,3,,1,INT,
Imperial Envoy,Delivery,Reg,1,6,,,,,,,2,,,,3,,1,INT,
Lattice Network,Rescue,Reg,3,7,,,,,,,,3,,,5,,3,INT,
Rift Watcher,Kill,Reg,3,8,,,,,,,,,3,,6,,3,INT,
Semestral Haul,Delivery,Reg,3,7,,,,,,,3,,,,6,,2,INT,
Tear of Convergence,Unstable,Reg,4,9,,,,,,,,,,,12,,3,INT,
